invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country
580279,23579,SNACK TRAY I LOVE LONDON,8,2011-12-02T13:12:00.000000,1.95,15123,United Kingdom
580279,23580,SNACK TRAY HAPPY FOREST  ,8,2011-12-02T13:12:00.000000,1.95,15123,United Kingdom
580279,21788,KIDS RAIN MAC BLUE,24,2011-12-02T13:12:00.000000,0.85,15123,United Kingdom
580279,21789,KIDS RAIN MAC PINK,24,2011-12-02T13:12:00.000000,0.85,15123,United Kingdom
580279,22302,COFFEE MUG PEARS  DESIGN,6,2011-12-02T13:12:00.000000,2.55,15123,United Kingdom
580279,22303,COFFEE MUG APPLES DESIGN,6,2011-12-02T13:12:00.000000,2.55,15123,United Kingdom
580279,21329,DINOSAURS  WRITING SET ,12,2011-12-02T13:12:00.000000,1.65,15123,United Kingdom
580279,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,2011-12-02T13:12:00.000000,8.5,15123,United Kingdom
580279,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-12-02T13:12:00.000000,1.65,15123,United Kingdom
580279,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-12-02T13:12:00.000000,4.15,15123,United Kingdom
580279,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-12-02T13:12:00.000000,9.95,15123,United Kingdom
580279,22974,CHILDRENS DOLLY GIRL MUG,12,2011-12-02T13:12:00.000000,1.65,15123,United Kingdom
580279,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,2011-12-02T13:12:00.000000,0.55,15123,United Kingdom
580279,84510A,SET OF 4 ENGLISH ROSE COASTERS,10,2011-12-02T13:12:00.000000,1.25,15123,United Kingdom
580279,48184,DOORMAT ENGLISH ROSE ,2,2011-12-02T13:12:00.000000,8.25,15123,United Kingdom
580279,22670,FRENCH WC SIGN BLUE METAL,12,2011-12-02T13:12:00.000000,1.25,15123,United Kingdom
580279,22672,FRENCH BATHROOM SIGN BLUE METAL,12,2011-12-02T13:12:00.000000,1.65,15123,United Kingdom
580279,22675,FRENCH KITCHEN SIGN BLUE METAL,12,2011-12-02T13:12:00.000000,1.25,15123,United Kingdom
580279,84946,ANTIQUE SILVER T-LIGHT GLASS,24,2011-12-02T13:12:00.000000,1.25,15123,United Kingdom
580279,23369,SET 36 COLOUR PENCILS LOVE LONDON,16,2011-12-02T13:12:00.000000,1.25,15123,United Kingdom
580279,22616,PACK OF 12 LONDON TISSUES ,24,2011-12-02T13:12:00.000000,0.39,15123,United Kingdom
580279,22423,REGENCY CAKESTAND 3 TIER,4,2011-12-02T13:12:00.000000,12.75,15123,United Kingdom
580279,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-12-02T13:12:00.000000,2.95,15123,United Kingdom
580279,23171,REGENCY TEA PLATE GREEN ,12,2011-12-02T13:12:00.000000,1.65,15123,United Kingdom
580279,23175,REGENCY MILK JUG PINK ,4,2011-12-02T13:12:00.000000,3.25,15123,United Kingdom
580279,23174,REGENCY SUGAR BOWL GREEN,4,2011-12-02T13:12:00.000000,4.15,15123,United Kingdom
580279,23172,REGENCY TEA PLATE PINK,12,2011-12-02T13:12:00.000000,1.65,15123,United Kingdom
580279,23245,SET OF 3 REGENCY CAKE TINS,4,2011-12-02T13:12:00.000000,4.95,15123,United Kingdom
580279,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2011-12-02T13:12:00.000000,3.25,15123,United Kingdom
580279,20973,12 PENCIL SMALL TUBE WOODLAND,24,2011-12-02T13:12:00.000000,0.65,15123,United Kingdom
580279,20981,12 PENCILS TALL TUBE WOODLAND,12,2011-12-02T13:12:00.000000,0.85,15123,United Kingdom
580279,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,18,2011-12-02T13:12:00.000000,2.95,15123,United Kingdom
580279,21770,OPEN CLOSED METAL SIGN,6,2011-12-02T13:12:00.000000,4.95,15123,United Kingdom
580279,21181,PLEASE ONE PERSON METAL SIGN,12,2011-12-02T13:12:00.000000,2.1,15123,United Kingdom
580279,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,48,2011-12-02T13:12:00.000000,0.85,15123,United Kingdom
580279,22300,COFFEE MUG DOG + BALL DESIGN,6,2011-12-02T13:12:00.000000,2.55,15123,United Kingdom
580279,22301,COFFEE MUG CAT + BIRD DESIGN,6,2011-12-02T13:12:00.000000,2.55,15123,United Kingdom
580279,22349,DOG BOWL CHASING BALL DESIGN,6,2011-12-02T13:12:00.000000,3.75,15123,United Kingdom
580279,22350,ILLUSTRATED CAT BOWL ,6,2011-12-02T13:12:00.000000,2.55,15123,United Kingdom
580279,22625,RED KITCHEN SCALES,2,2011-12-02T13:12:00.000000,8.5,15123,United Kingdom
580279,22627,MINT KITCHEN SCALES,2,2011-12-02T13:12:00.000000,8.5,15123,United Kingdom
580279,22915,ASSORTED BOTTLE TOP  MAGNETS ,36,2011-12-02T13:12:00.000000,0.42,15123,United Kingdom
580279,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-12-02T13:12:00.000000,6.25,15123,United Kingdom
580279,23310,BUBBLEGUM RING ASSORTED,72,2011-12-02T13:12:00.000000,0.42,15123,United Kingdom
580279,22327,ROUND SNACK BOXES SET OF 4 SKULLS,6,2011-12-02T13:12:00.000000,2.95,15123,United Kingdom
580279,22727,ALARM CLOCK BAKELIKE RED ,4,2011-12-02T13:12:00.000000,3.75,15123,United Kingdom
580279,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-12-02T13:12:00.000000,3.75,15123,United Kingdom
580279,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,2011-12-02T13:12:00.000000,3.75,15123,United Kingdom
580279,22791,T-LIGHT GLASS FLUTED ANTIQUE,24,2011-12-02T13:12:00.000000,1.25,15123,United Kingdom
580279,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2011-12-02T13:12:00.000000,1.69,15123,United Kingdom
