invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country
579432,48188,DOORMAT WELCOME PUPPIES,1,2011-11-29T13:12:00.000000,8.25,15311,United Kingdom
579432,21169,YOU'RE CONFUSING ME METAL SIGN ,5,2011-11-29T13:12:00.000000,1.69,15311,United Kingdom
579432,20718,RED RETROSPOT SHOPPER BAG,2,2011-11-29T13:12:00.000000,1.25,15311,United Kingdom
579432,20724,RED RETROSPOT CHARLOTTE BAG,4,2011-11-29T13:12:00.000000,0.85,15311,United Kingdom
579432,85099B,JUMBO BAG RED RETROSPOT,2,2011-11-29T13:12:00.000000,2.08,15311,United Kingdom
579432,22327,ROUND SNACK BOXES SET OF 4 SKULLS,2,2011-11-29T13:12:00.000000,2.95,15311,United Kingdom
579432,84692,BOX OF 24 COCKTAIL PARASOLS,4,2011-11-29T13:12:00.000000,0.42,15311,United Kingdom
579432,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,2011-11-29T13:12:00.000000,1.65,15311,United Kingdom
579432,21380,WOODEN HAPPY BIRTHDAY GARLAND,3,2011-11-29T13:12:00.000000,2.95,15311,United Kingdom
579432,85202,HANGING WOOD AND FELT HEART,7,2011-11-29T13:12:00.000000,0.42,15311,United Kingdom
579432,85204,HANGING WOOD AND FELT FLOWER,7,2011-11-29T13:12:00.000000,0.12,15311,United Kingdom
579432,85203,HANGING WOOD AND FELT BUTTERFLY ,8,2011-11-29T13:12:00.000000,0.42,15311,United Kingdom
579432,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,2,2011-11-29T13:12:00.000000,1.45,15311,United Kingdom
579432,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3,2011-11-29T13:12:00.000000,2.55,15311,United Kingdom
579432,23316,RED REFECTORY CLOCK ,1,2011-11-29T13:12:00.000000,9.95,15311,United Kingdom
579432,23315,IVORY REFECTORY CLOCK,1,2011-11-29T13:12:00.000000,9.95,15311,United Kingdom
579432,22265,EASTER DECORATION NATURAL CHICK,4,2011-11-29T13:12:00.000000,0.65,15311,United Kingdom
579432,20713,JUMBO BAG OWLS,100,2011-11-29T13:12:00.000000,1.79,15311,United Kingdom
