invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country
581134,17003,BROCADE RING PURSE ,36,2011-12-07T13:12:00.000000,0.39,16368,United Kingdom
581134,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,1,2011-12-07T13:12:00.000000,0.79,16368,United Kingdom
581134,22905,CALENDAR IN SEASON DESIGN,1,2011-12-07T13:12:00.000000,1.25,16368,United Kingdom
581134,23154,SET OF 4 JAM JAR MAGNETS,1,2011-12-07T13:12:00.000000,2.08,16368,United Kingdom
581134,23060,HEART BEADED TRELLIS DECORATION,2,2011-12-07T13:12:00.000000,2.08,16368,United Kingdom
581134,23576,SNACK TRAY RED VINTAGE DOILY,1,2011-12-07T13:12:00.000000,1.95,16368,United Kingdom
581134,23561,SET OF 6 RIBBONS PARTY,2,2011-12-07T13:12:00.000000,2.89,16368,United Kingdom
581134,23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,1,2011-12-07T13:12:00.000000,2.89,16368,United Kingdom
581134,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,3,2011-12-07T13:12:00.000000,0.39,16368,United Kingdom
581134,85049E,SCANDINAVIAN REDS RIBBONS,2,2011-12-07T13:12:00.000000,1.25,16368,United Kingdom
581134,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,3,2011-12-07T13:12:00.000000,2.89,16368,United Kingdom
581134,23435,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,3,2011-12-07T13:12:00.000000,0.79,16368,United Kingdom
581134,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,5,2011-12-07T13:12:00.000000,0.79,16368,United Kingdom
581134,23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,1,2011-12-07T13:12:00.000000,2.89,16368,United Kingdom
581134,23560,SET OF 6 RIBBONS COUNTRY STYLE,1,2011-12-07T13:12:00.000000,2.89,16368,United Kingdom
581134,85049C,ROMANTIC PINKS RIBBONS ,1,2011-12-07T13:12:00.000000,1.25,16368,United Kingdom
581134,22077,6 RIBBONS RUSTIC CHARM,1,2011-12-07T13:12:00.000000,1.95,16368,United Kingdom
581134,84378,SET OF 3 HEART COOKIE CUTTERS,1,2011-12-07T13:12:00.000000,1.45,16368,United Kingdom
581134,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-12-07T13:12:00.000000,9.95,16368,United Kingdom
581134,85049G,CHOCOLATE BOX RIBBONS ,3,2011-12-07T13:12:00.000000,1.25,16368,United Kingdom
581134,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2011-12-07T13:12:00.000000,0.55,16368,United Kingdom
581134,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,1,2011-12-07T13:12:00.000000,0.55,16368,United Kingdom
581134,84992,72 SWEETHEART FAIRY CAKE CASES,1,2011-12-07T13:12:00.000000,0.55,16368,United Kingdom
581134,23234,BISCUIT TIN VINTAGE CHRISTMAS,1,2011-12-07T13:12:00.000000,2.89,16368,United Kingdom
581134,23435,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,3,2011-12-07T13:12:00.000000,0.79,16368,United Kingdom
581134,85049C,ROMANTIC PINKS RIBBONS ,2,2011-12-07T13:12:00.000000,1.25,16368,United Kingdom
581134,23560,SET OF 6 RIBBONS COUNTRY STYLE,1,2011-12-07T13:12:00.000000,2.89,16368,United Kingdom
581134,22077,6 RIBBONS RUSTIC CHARM,2,2011-12-07T13:12:00.000000,1.95,16368,United Kingdom
581134,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,5,2011-12-07T13:12:00.000000,2.89,16368,United Kingdom
581134,23060,HEART BEADED TRELLIS DECORATION,6,2011-12-07T13:12:00.000000,2.08,16368,United Kingdom
581134,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-12-07T13:12:00.000000,0.95,16368,United Kingdom
581134,84711B,PINK OVAL SHAPE TRINKET BOX,1,2011-12-07T13:12:00.000000,9.95,16368,United Kingdom
581134,21592,RETROSPOT CIGAR BOX MATCHES ,1,2011-12-07T13:12:00.000000,0.39,16368,United Kingdom
581134,85049A,TRADITIONAL CHRISTMAS RIBBONS,5,2011-12-07T13:12:00.000000,1.25,16368,United Kingdom
581134,84708B,PINK JEWELLED PHOTO FRAME ,1,2011-12-07T13:12:00.000000,4.95,16368,United Kingdom
581134,21454,PAINTED PINK RABBIT ,6,2011-12-07T13:12:00.000000,0.85,16368,United Kingdom
581134,22281,EASTER TREE YELLOW BIRDS,1,2011-12-07T13:12:00.000000,5.95,16368,United Kingdom
581134,23442,12 HANGING EGGS HAND PAINTED,1,2011-12-07T13:12:00.000000,2.08,16368,United Kingdom
581134,22228,BUNNY WOODEN PAINTED WITH BIRD ,3,2011-12-07T13:12:00.000000,0.39,16368,United Kingdom
581134,22281,EASTER TREE YELLOW BIRDS,1,2011-12-07T13:12:00.000000,5.95,16368,United Kingdom
581134,84707B,PINK JEWELLED MIRROR TRINKET TRAY,1,2011-12-07T13:12:00.000000,1.95,16368,United Kingdom
581134,23251,VINTAGE RED ENAMEL TRIM MUG ,1,2011-12-07T13:12:00.000000,1.25,16368,United Kingdom
581134,21455,PAINTED YELLOW WOODEN DAISY,1,2011-12-07T13:12:00.000000,0.85,16368,United Kingdom
581134,23442,12 HANGING EGGS HAND PAINTED,8,2011-12-07T13:12:00.000000,2.08,16368,United Kingdom
581134,23067,HANGING ENGRAVED METAL HEART,1,2011-12-07T13:12:00.000000,4.15,16368,United Kingdom
581134,21455,PAINTED YELLOW WOODEN DAISY,5,2011-12-07T13:12:00.000000,0.85,16368,United Kingdom
581134,23441,HAND PAINTED HANGING EASTER EGG,2,2011-12-07T13:12:00.000000,0.42,16368,United Kingdom
581134,21592,RETROSPOT CIGAR BOX MATCHES ,1,2011-12-07T13:12:00.000000,0.39,16368,United Kingdom
581134,23442,12 HANGING EGGS HAND PAINTED,1,2011-12-07T13:12:00.000000,2.08,16368,United Kingdom
581134,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-12-07T13:12:00.000000,0.95,16368,United Kingdom
